Row,c_lag,R_lag,pi_lag,w_lag,v_lag,n_lag,h_lag,x_lag,L_lag,k_lag,inv_lag,sep_shock_lag,d_shock_lag
y,0.197688099610127,-0.619651915055408,-0.108441077490734,-0.0125144131660736,-0.00150697721971377,0.228217276521856,-0,0.539173580749942,-0,0.198340105674856,0.0694705180750845,-0.101197550114424,1.22379220547031
d,0.393992250306444,-1.23503713949116,-0.216144046583943,-0.0236601243043963,-0.0109771734387627,-0.0673997212376059,-0,0.129517521301056,-0,0.067012846097633,0.138457875879551,0.230550046901968,2.43915283818125
gap,0.196304150696317,-0.61538522443575,-0.107702969093209,-0.0111457111383228,-0.0094701962190488,-0.295616997759462,-0,-0.409656059448887,-0,-0.131327259577223,0.0689873578044662,0.331747597016392,1.21536063271094
w_star,0.0200889329404934,-0.121866094439769,-0.0283247706793545,-0.027557736077869,0.0813909231819573,0.560896294264433,0,0.42194177515612,0,0.156786937863373,0.0149747065816483,-0.911665607314585,0.234557544333502
u,-0.0267658508287246,0.0825186562296216,0.0142751651209435,0.0264709729804153,-0.154010259862716,-10.1310604058232,-0,0.0226349943566988,-0,0.00643322304344793,-0.00934441698005175,8.3732463745485,-0.163068315944866
u_rate,-0.00191760821690726,0.00591195304220441,0.00102272758332239,0.00189648203681605,-0.0110338857408494,-0.725828026335002,-0,0.00162165781487034,-0,0.000460900774208667,-0.000669469874050283,0.599891486834091,-0.0116828396218035
m,0.0590170112499067,-0.181948427277511,-0.0314758378475799,-0.0583668242111163,0.339582899758433,-5.23307998800347,-0,-0.0499087335253787,-0,-0.0141848506575695,0.0206038494933187,4.39466323535964,0.359555341550879
mc,0.204016923705426,-0.660139861824726,-0.117980184758122,0.628534944414785,0.0229388093868456,0.158704631371649,0,-1.21255288401646,0,-0.406615666350138,0.0744664795696908,-0.200577005175308,1.30160863742258
theta,0.171565724157263,-0.528934167014264,-0.0915020059370469,-0.169675594383063,0.987186319242299,9.79596083563938,-0,-0.145087455764155,-0,-0.0412361474020349,0.0598965329467408,-7.95716627837772,1.04524731499149
